=== TOKENS ENCONTRADOS ===
TOKEN                LEXEMA               LINEA      COLUMNA   
GLOBAL               global               1          3         
STRING_T             string               1          10        
IDENTIFIER           msg                  1          17        
ASIGNA               =                    1          21        
STRING_LITERAL       "                    1          28        
FINLINEA             ?                    1          30        
MAIN                 main                 3          3         
ESH_IZ               ʃ                    3          8         
EZH_DE               ʅ                    3          9         
INIT_BLOC            ((                   4          3         
IDENTIFIER           f2                   5          5         
ESH_IZ               ʃ                    5          8         
INTEGER_LITERAL      2                    5          10        
COMA                 ,                    5          12        
STRING_LITERAL       "                    5          33        
EZH_DE               ʅ                    5          35        
FINLINEA             ?                    5          37        
IDENTIFIER           f1                   6          5         
ESH_IZ               ʃ                    6          8         
INTEGER_LITERAL      2                    6          10        
COMA                 ,                    6          12        
INTEGER_LITERAL      4                    6          14        
EZH_DE               ʅ                    6          16        
FINLINEA             ?                    6          18        
INTEGER_T            int                  9          5         
IDENTIFIER           var3                 9          9         
ASIGNA               =                    9          14        
INTEGER_LITERAL      5                    9          16        
FINLINEA             ?                    9          17        
FLOAT_T              float                10         5         
IDENTIFIER           lec                  10         11        
ASIGNA               =                    10         15        
FLOAT_LITERAL        200.55               10         17        
FINLINEA             ?                    10         23        
IDENTIFIER           print                13         5         
ESH_IZ               ʃ                    13         11        
IDENTIFIER           lec                  13         14        
EZH_DE               ʅ                    13         19        
FINLINEA             ?                    13         21        
INTEGER_T            int                  14         5         
IDENTIFIER           var4                 14         9         
ASIGNA               =                    14         15        
INTEGER_LITERAL      6                    14         17        
FINLINEA             ?                    14         18        
IF                   if                   15         5         
ESH_IZ               ʃ                    15         9         
IDENTIFIER           var3                 15         12        
COMPARACION          ==                   15         17        
INTEGER_LITERAL      5                    15         20        
CONJUNCION           ^                    15         22        
IDENTIFIER           var4                 15         24        
COMPARACION          ==                   15         29        
INTEGER_LITERAL      6                    15         32        
EZH_DE               ʅ                    15         34        
INIT_BLOC            ((                   16         5         
IDENTIFIER           print                17         7         
ESH_IZ               ʃ                    17         13        
STRING_LITERAL       "                    17         27        
EZH_DE               ʅ                    17         29        
FINLINEA             ?                    17         31        
END_BLOC             /                    18         5         
ELSE                 else                 19         5         
INIT_BLOC            ((                   20         5         
IDENTIFIER           print                21         7         
ESH_IZ               ʃ                    21         13        
STRING_LITERAL       "                    21         30        
EZH_DE               ʅ                    21         33        
FINLINEA             ?                    21         35        
END_BLOC             /                    23         5         
FOR                  for                  25         5         
ESH_IZ               ʃ                    25         9         
INTEGER_T            int                  25         11        
IDENTIFIER           i                    25         15        
ASIGNA               =                    25         17        
INTEGER_LITERAL      0                    25         19        
FINLINEA             ?                    25         21        
IDENTIFIER           i                    25         23        
MENOR                <                    25         25        
INTEGER_LITERAL      10                   25         27        
FINLINEA             ?                    25         29        
IDENTIFIER           i                    25         31        
ASIGNA               =                    25         33        
IDENTIFIER           i                    25         35        
SUMA                 +                    25         37        
INTEGER_LITERAL      1                    25         39        
EZH_DE               ʅ                    25         41        
INIT_BLOC            ((                   26         5         
STRING_T             string               27         11        
IDENTIFIER           msg1                 27         18        
ASIGNA               =                    27         23        
STRING_LITERAL       "                    27         30        
FINLINEA             ?                    27         32        
IDENTIFIER           print                28         11        
ESH_IZ               ʃ                    28         17        
IDENTIFIER           msg1                 28         20        
EZH_DE               ʅ                    28         26        
FINLINEA             ?                    28         28        
END_BLOC             /                    30         5         
INTEGER_T            int                  32         5         
IDENTIFIER           var1                 32         9         
ASIGNA               =                    32         14        
INTEGER_LITERAL      2                    32         16        
FINLINEA             ?                    32         18        
DO                   do                   33         5         
INIT_BLOC            ((                   34         5         
IDENTIFIER           var1                 35         8         
ASIGNA               =                    35         14        
IDENTIFIER           var1                 35         17        
MULTIPLICA           *                    35         22        
IDENTIFIER           var1                 35         24        
FINLINEA             ?                    35         29        
IDENTIFIER           print                36         8         
ESH_IZ               ʃ                    36         14        
IDENTIFIER           var1                 36         17        
EZH_DE               ʅ                    36         23        
FINLINEA             ?                    36         25        
END_BLOC             /                    37         5         
WHILE                while                37         7         
ESH_IZ               ʃ                    37         13        
IDENTIFIER           var1                 37         16        
MENOR                <                    37         21        
INTEGER_LITERAL      200                  37         23        
EZH_DE               ʅ                    37         28        
FINLINEA             ?                    37         30        
INTEGER_T            int                  39         5         
IDENTIFIER           x1                   39         9         
ASIGNA               =                    39         12        
INTEGER_LITERAL      5                    39         14        
FINLINEA             ?                    39         15        
INTEGER_T            int                  40         5         
IDENTIFIER           array                40         9         
PIPE                 |                    40         15        
IDENTIFIER           x1                   40         17        
PIPE                 |                    40         20        
FINLINEA             ?                    40         22        
IDENTIFIER           array                41         5         
BRACEIZQ             [                    41         10        
FLOAT_LITERAL        1.1                  41         11        
BRACEDER             ]                    41         14        
ASIGNA               =                    41         16        
INTEGER_LITERAL      25                   41         18        
FINLINEA             ?                    41         21        
IDENTIFIER           x1                   43         5         
ASIGNA               =                    43         8         
IDENTIFIER           array                43         10        
BRACEIZQ             [                    43         15        
INTEGER_LITERAL      1                    43         16        
BRACEDER             ]                    43         17        
FINLINEA             ?                    43         18        
INTEGER_T            int                  45         5         
IDENTIFIER           x                    45         9         
ASIGNA               =                    45         11        
INTEGER_LITERAL      10                   45         13        
FINLINEA             ?                    45         15        
INTEGER_T            int                  46         5         
IDENTIFIER           array1               46         9         
PIPE                 |                    46         16        
IDENTIFIER           x                    46         18        
PIPE                 |                    46         20        
IDENTIFIER           x                    46         22        
PIPE                 |                    46         24        
FINLINEA             ?                    46         26        
IDENTIFIER           array1               47         5         
BRACEIZQ             [                    47         12        
INTEGER_LITERAL      1                    47         13        
COMA                 ,                    47         14        
INTEGER_LITERAL      1                    47         15        
BRACEDER             ]                    47         16        
ASIGNA               =                    47         18        
INTEGER_LITERAL      5                    47         20        
FINLINEA             ?                    47         22        
IDENTIFIER           x                    48         5         
ASIGNA               =                    48         7         
IDENTIFIER           array1               48         9         
BRACEIZQ             [                    48         16        
INTEGER_LITERAL      1                    48         17        
COMA                 ,                    48         18        
INTEGER_LITERAL      1                    48         19        
BRACEDER             ]                    48         20        
FINLINEA             ?                    48         21        
IDENTIFIER           print                49         5         
ESH_IZ               ʃ                    49         11        
IDENTIFIER           x                    49         14        
EZH_DE               ʅ                    49         16        
FINLINEA             ?                    49         18        
IDENTIFIER           print                50         5         
ESH_IZ               ʃ                    50         11        
STRING_LITERAL       "                    50         43        
EZH_DE               ʅ                    50         46        
FINLINEA             ?                    50         48        
END_BLOC             /                    51         3         
FUNCTION             function             52         3         
INTEGER_T            int                  52         12        
IDENTIFIER           f1                   52         16        
ESH_IZ               ʃ                    52         19        
INTEGER_T            int                  52         21        
IDENTIFIER           num1                 52         25        
COMA                 ,                    52         30        
INTEGER_T            int                  52         32        
IDENTIFIER           num2                 52         36        
EZH_DE               ʅ                    52         41        
INIT_BLOC            ((                   53         3         
IDENTIFIER           print                54         5         
ESH_IZ               ʃ                    54         11        
IDENTIFIER           num1                 54         14        
POTENCIA             **                   54         19        
IDENTIFIER           num2                 54         22        
EZH_DE               ʅ                    54         28        
FINLINEA             ?                    54         30        
RETURN               return               55         5         
IDENTIFIER           num1                 55         12        
FINLINEA             ?                    55         16        
END_BLOC             /                    56         3         
FUNCTION             function             58         3         
STRING_T             string               58         12        
IDENTIFIER           f2                   58         19        
ESH_IZ               ʃ                    58         22        
INTEGER_T            int                  58         24        
IDENTIFIER           num1                 58         28        
COMA                 ,                    58         33        
STRING_T             string               58         35        
IDENTIFIER           num2                 58         42        
EZH_DE               ʅ                    58         47        
INIT_BLOC            ((                   59         3         
IDENTIFIER           print                61         5         
ESH_IZ               ʃ                    61         11        
IDENTIFIER           num2                 61         14        
EZH_DE               ʅ                    61         20        
FINLINEA             ?                    61         22        
RETURN               return               62         5         
IDENTIFIER           num2                 62         12        
FINLINEA             ?                    62         16        
END_BLOC             /                    63         3         
