=== TOKENS ENCONTRADOS ===
TOKEN                LEXEMA               LINEA      COLUMNA   
GLOBAL               global               2          1         
INTEGER_T            int                  2          8         
IDENTIFIER           y                    2          12        
ASIGNA               =                    2          14        
INTEGER_LITERAL      2                    2          16        
FINLINEA             ?                    2          18        
GLOBAL               global               4          1         
STRING_T             string               4          8         
IDENTIFIER           msg                  4          15        
ASIGNA               =                    4          19        
STRING_LITERAL       "                    4          26        
FINLINEA             ?                    4          28        
GLOBAL               global               6          1         
INTEGER_T            int                  6          8         
IDENTIFIER           x                    6          12        
FINLINEA             ?                    6          13        
MAIN                 main                 8          1         
ESH_IZ               ʃ                    8          6         
EZH_DE               ʅ                    8          7         
INIT_BLOC            ((                   9          1         
INTEGER_T            int                  10         3         
IDENTIFIER           array                10         8         
PIPE                 |                    10         14        
INTEGER_LITERAL      5                    10         16        
PIPE                 |                    10         18        
FINLINEA             ?                    10         20        
IDENTIFIER           array                12         3         
BRACEIZQ             [                    12         9         
INTEGER_LITERAL      2                    12         11        
BRACEDER             ]                    12         13        
ASIGNA               =                    12         16        
INTEGER_LITERAL      10                   12         18        
FINLINEA             ?                    12         20        
IDENTIFIER           x                    14         3         
ASIGNA               =                    14         5         
IDENTIFIER           array                14         7         
BRACEIZQ             [                    14         13        
INTEGER_LITERAL      2                    14         15        
BRACEDER             ]                    14         17        
FINLINEA             ?                    14         18        
STRING_T             string               15         3         
IDENTIFIER           nombre               15         10        
ASIGNA               =                    15         17        
STRING_LITERAL       "                    15         24        
FINLINEA             ?                    15         26        
INTEGER_T            int                  16         3         
IDENTIFIER           numero               16         7         
ASIGNA               =                    16         14        
INTEGER_LITERAL      2                    16         16        
FINLINEA             ?                    16         18        
IDENTIFIER           x                    17         3         
ASIGNA               =                    17         5         
INTEGER_LITERAL      4                    17         7         
FINLINEA             ?                    17         8         
IF                   if                   20         3         
ESH_IZ               ʃ                    20         6         
IDENTIFIER           x                    20         8         
MENOR                <                    20         10        
INTEGER_LITERAL      10                   20         12        
EZH_DE               ʅ                    20         15        
INIT_BLOC            ((                   21         5         
INTEGER_T            int                  22         7         
IDENTIFIER           juan                 22         11        
ASIGNA               =                    22         16        
INTEGER_LITERAL      2                    22         18        
FINLINEA             ?                    22         20        
END_BLOC             /                    23         5         
ELIF                 elif                 24         3         
ESH_IZ               ʃ                    24         8         
IDENTIFIER           j                    24         10        
COMPARACION          ==                   24         12        
INTEGER_LITERAL      10                   24         15        
EZH_DE               ʅ                    24         18        
INIT_BLOC            ((                   25         5         
INTEGER_T            int                  26         7         
IDENTIFIER           juan                 26         11        
ASIGNA               =                    26         16        
INTEGER_LITERAL      6                    26         18        
FINLINEA             ?                    26         20        
END_BLOC             /                    27         5         
ELSE                 else                 28         3         
INIT_BLOC            ((                   29         5         
RETURN               return               30         7         
STRING_LITERAL       "                    30         16        
FINLINEA             ?                    30         18        
END_BLOC             /                    31         5         
SWITCH               Switch               33         3         
ESH_IZ               ʃ                    33         10        
IDENTIFIER           x                    33         12        
EZH_DE               ʅ                    33         14        
INIT_BLOC            ((                   34         3         
CASE                 case                 35         5         
INTEGER_LITERAL      1                    35         10        
DOSPUNTOS            :                    35         11        
IDENTIFIER           y                    36         7         
ASIGNA               =                    36         9         
INTEGER_LITERAL      2                    36         11        
FINLINEA             ?                    36         12        
BREAK                break                37         7         
FINLINEA             ?                    37         12        
CASE                 case                 38         5         
INTEGER_LITERAL      2                    38         10        
DOSPUNTOS            :                    38         11        
IDENTIFIER           y                    39         7         
ASIGNA               =                    39         9         
INTEGER_LITERAL      2                    39         11        
FINLINEA             ?                    39         12        
BREAK                break                40         7         
FINLINEA             ?                    40         12        
DEFAULT              default              41         5         
DOSPUNTOS            :                    41         12        
IDENTIFIER           y                    42         7         
