=== TOKENS ENCONTRADOS ===
TOKEN                LEXEMA               LINEA      COLUMNA   
GLOBAL               global               1          3         
STRING_T             string               1          10        
IDENTIFIER           msg                  1          17        
ASIGNA               =                    1          21        
STRING_LITERAL       "                    1          28        
FINLINEA             ?                    1          30        
MAIN                 main                 3          3         
ESH_IZ               ʃ                    3          8         
EZH_DE               ʅ                    3          9         
INIT_BLOC            ((                   4          3         
IDENTIFIER           f2                   5          5         
ESH_IZ               ʃ                    5          8         
INTEGER_LITERAL      2                    5          10        
COMA                 ,                    5          12        
STRING_LITERAL       "                    5          33        
EZH_DE               ʅ                    5          35        
FINLINEA             ?                    5          37        
INTEGER_T            int                  6          5         
IDENTIFIER           resultado            6          9         
ASIGNA               =                    6          19        
INTEGER_LITERAL      5                    6          21        
FINLINEA             ?                    6          23        
IDENTIFIER           resultado            7          5         
ASIGNA               =                    7          15        
IDENTIFIER           f1                   7          17        
ESH_IZ               ʃ                    7          20        
INTEGER_LITERAL      2                    7          22        
COMA                 ,                    7          24        
INTEGER_LITERAL      4                    7          26        
EZH_DE               ʅ                    7          28        
FINLINEA             ?                    7          30        
INTEGER_T            int                  9          5         
IDENTIFIER           var3                 9          9         
ASIGNA               =                    9          14        
STRING_LITERAL       "                    9          18        
SUMA                 +                    9          20        
INTEGER_LITERAL      5                    9          22        
FINLINEA             ?                    9          23        
FLOAT_T              float                11         4         
IDENTIFIER           var7                 11         10        
ASIGNA               =                    11         15        
FLOAT_LITERAL        123.2                11         17        
POTENCIA             **                   11         23        
FLOAT_LITERAL        5.0                  11         26        
FINLINEA             ?                    11         29        
FLOAT_T              float                13         5         
IDENTIFIER           lec                  13         11        
FINLINEA             ?                    13         14        
FLOAT_T              float                14         5         
IDENTIFIER           lec2                 14         11        
FINLINEA             ?                    14         15        
LEER                 leer                 16         5         
ESH_IZ               ʃ                    16         10        
IDENTIFIER           lec                  16         13        
EZH_DE               ʅ                    16         18        
FINLINEA             ?                    16         20        
LEER                 leer                 17         5         
ESH_IZ               ʃ                    17         10        
IDENTIFIER           lec2                 17         13        
EZH_DE               ʅ                    17         19        
FINLINEA             ?                    17         21        
IDENTIFIER           print                18         5         
ESH_IZ               ʃ                    18         11        
IDENTIFIER           var7                 18         14        
EZH_DE               ʅ                    18         20        
FINLINEA             ?                    18         22        
INTEGER_T            int                  19         5         
IDENTIFIER           var4                 19         9         
ASIGNA               =                    19         15        
INTEGER_LITERAL      6                    19         17        
FINLINEA             ?                    19         18        
IF                   if                   20         5         
ESH_IZ               ʃ                    20         9         
INTEGER_LITERAL      3                    20         12        
EZH_DE               ʅ                    20         14        
INIT_BLOC            ((                   21         5         
IDENTIFIER           print                22         7         
ESH_IZ               ʃ                    22         13        
STRING_LITERAL       "                    22         27        
EZH_DE               ʅ                    22         29        
FINLINEA             ?                    22         31        
END_BLOC             /                    23         5         
ELSE                 else                 24         5         
INIT_BLOC            ((                   25         5         
IDENTIFIER           print                26         7         
ESH_IZ               ʃ                    26         13        
STRING_LITERAL       "                    26         30        
EZH_DE               ʅ                    26         33        
FINLINEA             ?                    26         35        
END_BLOC             /                    28         5         
FOR                  for                  30         5         
ESH_IZ               ʃ                    30         9         
INTEGER_T            int                  30         11        
IDENTIFIER           i                    30         15        
ASIGNA               =                    30         17        
INTEGER_LITERAL      20                   30         19        
FINLINEA             ?                    30         22        
INTEGER_LITERAL      2                    30         24        
FINLINEA             ?                    30         25        
IDENTIFIER           i                    30         27        
DECREMENTO           --                   30         28        
EZH_DE               ʅ                    30         31        
INIT_BLOC            ((                   31         5         
STRING_T             string               32         11        
IDENTIFIER           msg1                 32         18        
ASIGNA               =                    32         23        
STRING_LITERAL       "                    32         30        
FINLINEA             ?                    32         32        
IDENTIFIER           print                33         11        
ESH_IZ               ʃ                    33         17        
IDENTIFIER           msg1                 33         20        
EZH_DE               ʅ                    33         26        
FINLINEA             ?                    33         28        
END_BLOC             /                    35         5         
INTEGER_T            int                  37         5         
IDENTIFIER           var1                 37         9         
ASIGNA               =                    37         14        
INTEGER_LITERAL      2                    37         16        
FINLINEA             ?                    37         18        
DO                   do                   38         5         
INIT_BLOC            ((                   39         5         
IDENTIFIER           var1                 40         8         
ASIGNA               =                    40         14        
IDENTIFIER           var1                 40         17        
MULTIPLICA           *                    40         22        
IDENTIFIER           var1                 40         24        
FINLINEA             ?                    40         29        
IDENTIFIER           print                41         8         
ESH_IZ               ʃ                    41         14        
IDENTIFIER           var1                 41         17        
EZH_DE               ʅ                    41         23        
FINLINEA             ?                    41         25        
END_BLOC             /                    42         5         
WHILE                while                42         7         
ESH_IZ               ʃ                    42         13        
IDENTIFIER           var1                 42         16        
MENOR                <                    42         21        
INTEGER_LITERAL      200                  42         23        
EZH_DE               ʅ                    42         28        
FINLINEA             ?                    42         30        
INTEGER_T            int                  44         5         
IDENTIFIER           x1                   44         9         
ASIGNA               =                    44         12        
INTEGER_LITERAL      5                    44         14        
FINLINEA             ?                    44         15        
INTEGER_T            int                  45         5         
IDENTIFIER           array                45         9         
PIPE                 |                    45         15        
IDENTIFIER           x1                   45         17        
PIPE                 |                    45         20        
FINLINEA             ?                    45         22        
IDENTIFIER           array                46         5         
BRACEIZQ             [                    46         10        
INTEGER_LITERAL      1                    46         11        
BRACEDER             ]                    46         12        
ASIGNA               =                    46         14        
INTEGER_LITERAL      25                   46         16        
FINLINEA             ?                    46         19        
IDENTIFIER           x1                   48         5         
ASIGNA               =                    48         8         
IDENTIFIER           array                48         10        
BRACEIZQ             [                    48         15        
INTEGER_LITERAL      1                    48         16        
BRACEDER             ]                    48         17        
FINLINEA             ?                    48         18        
INTEGER_T            int                  50         5         
IDENTIFIER           x                    50         9         
ASIGNA               =                    50         11        
INTEGER_LITERAL      10                   50         13        
FINLINEA             ?                    50         15        
INTEGER_T            int                  51         5         
IDENTIFIER           array1               51         9         
PIPE                 |                    51         16        
IDENTIFIER           x                    51         18        
PIPE                 |                    51         20        
IDENTIFIER           x                    51         22        
PIPE                 |                    51         24        
FINLINEA             ?                    51         26        
IDENTIFIER           array1               52         5         
BRACEIZQ             [                    52         12        
INTEGER_LITERAL      1                    52         13        
COMA                 ,                    52         14        
INTEGER_LITERAL      1                    52         15        
BRACEDER             ]                    52         16        
ASIGNA               =                    52         18        
INTEGER_LITERAL      5                    52         20        
FINLINEA             ?                    52         22        
IDENTIFIER           x                    53         5         
ASIGNA               =                    53         7         
IDENTIFIER           array1               53         9         
BRACEIZQ             [                    53         16        
INTEGER_LITERAL      1                    53         17        
COMA                 ,                    53         18        
INTEGER_LITERAL      1                    53         19        
BRACEDER             ]                    53         20        
FINLINEA             ?                    53         21        
IDENTIFIER           print                54         5         
ESH_IZ               ʃ                    54         11        
IDENTIFIER           x                    54         14        
EZH_DE               ʅ                    54         16        
FINLINEA             ?                    54         18        
IDENTIFIER           print                55         5         
ESH_IZ               ʃ                    55         11        
STRING_LITERAL       "                    55         43        
EZH_DE               ʅ                    55         46        
FINLINEA             ?                    55         48        
END_BLOC             /                    56         3         
FUNCTION             function             58         3         
INTEGER_T            int                  58         12        
IDENTIFIER           f1                   58         16        
ESH_IZ               ʃ                    58         19        
INTEGER_T            int                  58         21        
IDENTIFIER           num1                 58         25        
COMA                 ,                    58         30        
INTEGER_T            int                  58         32        
IDENTIFIER           num2                 58         36        
EZH_DE               ʅ                    58         41        
INIT_BLOC            ((                   59         3         
INTEGER_T            int                  60         5         
IDENTIFIER           y                    60         9         
ASIGNA               =                    60         11        
IDENTIFIER           num1                 60         13        
SUMA                 +                    60         18        
IDENTIFIER           num2                 60         20        
FINLINEA             ?                    60         26        
RETURN               return               61         5         
IDENTIFIER           y                    61         12        
FINLINEA             ?                    61         13        
END_BLOC             /                    62         3         
FUNCTION             function             65         3         
STRING_T             string               65         12        
IDENTIFIER           f2                   65         19        
ESH_IZ               ʃ                    65         22        
INTEGER_T            int                  65         24        
IDENTIFIER           num1                 65         28        
COMA                 ,                    65         33        
STRING_T             string               65         35        
IDENTIFIER           num2                 65         42        
EZH_DE               ʅ                    65         47        
INIT_BLOC            ((                   66         3         
IDENTIFIER           print                68         5         
ESH_IZ               ʃ                    68         11        
IDENTIFIER           num2                 68         14        
EZH_DE               ʅ                    68         20        
FINLINEA             ?                    68         22        
RETURN               return               69         5         
IDENTIFIER           num2                 69         12        
FINLINEA             ?                    69         16        
END_BLOC             /                    70         3         
